1.102	16.4	12.4	5.7	8.2	99.9	9.9	2.1E+12	2.4E+12	1.1E+12	57.8	7.9
0.470	10.2	12.4	35.9	8.2	40.6	5.5	1.1E+11	1.2E+11	5E+10	8.90	1.7
1.010	31.0	12.4	25.9	7.0	8.5	5.3	1.3E+12	5.9E+12	1E+12	28.4	30.6
0.922	32.6	12.4	27.1	7.1	12.1	5.5	8.7E+11	2.5E+12	6.5E+11	25.2	19.7
1.302	24.1	12.4	14.6	7.1	27.9	5.2	1.1E+12	1.6E+12	6E+11	16.3	5.0
1.029	34.2	12.4	29.4	7.1	20.1	5.2	9.1E+11	1.3E+12	5.5E+11	21.2	9.0
0.582	48.2	12.4	50.8	7.0	29.9	5.4	4E+11	3.4E+11	1.8E+11	16.3	3.9
0.295	38.8	12.4	56.8	7.0	58.5	5.3	5.1E+10	2.5E+10	1.6E+10	9.10	0.9
0.326	27.6	3.7	4.0	7.7	99.9	9.9	3.3E+11	6E+10	5E+10	38.9	1.1
1.042	13.9	3.8	4.1	3.7	99.9	9.9	2.2E+12	8E+11	6E+11	58.2	3.5
0.598	22.4	3.8	16.3	3.7	8.2	4.1	2.2E+11	4.1E+11	1.4E+11	21.3	10.4
0.311	37.9	3.8	26.7	3.9	16.2	4.2	7.2E+10	5.4E+10	3.1E+10	16.8	3.8
0.669	11.8	3.8	13.4	3.7	14.9	4.1	1.3E+11	1.7E+11	7E+10	12.7	2.8
0.217	31.4	3.7	20.9	4.1	6.9	3.9	4.2E+10	7E+10	2.6E+10	19.0	8.7
0.467	16.9	3.8	5.8	4.2	99.9	9.9	3.3E+11	1E+11	8E+10	38.4	1.9
0.826	13.2	3.7	9.5	5.2	99.9	9.9	3.9E+11	9.4E+12	3.7E+11	29.8	60.6
0.726	35.0	3.7	29.1	5.7	18.0	4.5	4.5E+11	3.7E+11	2E+11	19.5	4.6
0.653	50.8	3.8	37.1	4.2	8.5	4.9	6.5E+11	5.4E+11	2.9E+11	23.0	6.8
0.239	30.3	3.8	14.7	3.9	3.9	5.4	1.3E+11	6.4E+11	1.1E+11	31.8	51.3
1.706	12.2	3.8	16.0	7.1	99.9	9.9	1.2E+12	1.1E+13	1.1E+12	23.3	18.1
0.673	17.1	3.8	14.5	3.7	8.5	4.1	2E+11	4.1E+11	1.3E+11	19.0	8.3
0.721	21.9	3.8	15.7	3.9	4.3	5.0	4.1E+11	1E+12	2.9E+11	26.3	18.8
1.026	20.1	3.8	9.7	3.8	19.6	4.0	5.6E+11	4.3E+11	2.4E+11	17.4	3.1
1.331	14.1	3.7	9.9	3.7	7.4	4.0	9.6E+11	3.3E+12	7.4E+11	28.4	21.6
1.338	26.7	3.8	13.2	4.7	12.6	4.7	1.9E+12	3.4E+12	1.2E+12	32.2	19.1
